City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Evensk,RU,2020-08-25 06:31:47,61.95,159.23,51.89,50,10,7.02
149,Cienfuegos,CU,2020-08-25 06:31:47,22.15,-80.44,78.8,88,20,6.93
150,Poum,NC,2020-08-25 06:31:48,-20.23,164.02,71.49,77,98,16.89
151,Heihe,CN,2020-08-25 06:31:48,50.24,127.49,75.2,73,40,8.95
152,Cabedelo,BR,2020-08-25 06:31:48,-6.98,-34.83,68.0,94,4,6.93
153,Edinburg,GB,2020-08-25 06:31:48,55.95,-3.2,53.6,87,75,11.41
154,Aklavik,CA,2020-08-25 06:31:48,68.22,-135.01,53.6,81,20,3.36
155,Nueva Loja,EC,2020-08-25 06:31:48,0.08,-76.88,68.7,94,54,0.58
156,Tarare,FR,2020-08-25 06:31:48,45.9,4.43,60.01,79,35,1.63
157,Amahai,ID,2020-08-25 06:31:49,-3.33,128.92,79.7,79,30,11.99
158,Madera,US,2020-08-25 06:27:31,37.17,-119.83,78.01,54,0,4.41
159,Namatanai,PG,2020-08-25 06:31:49,-3.67,152.43,82.09,75,13,7.02
160,Sao Joao Da Barra,BR,2020-08-25 06:31:49,-21.64,-41.05,62.06,80,0,14.14
161,Luwuk,ID,2020-08-25 06:31:49,-0.95,122.79,83.34,64,20,8.99
162,Meulaboh,ID,2020-08-25 06:31:49,4.14,96.13,87.01,64,10,7.87
163,Sauce,UY,2020-08-25 06:31:49,-34.65,-56.06,62.01,72,100,10.29
164,Hanko,FI,2020-08-25 06:27:45,59.83,22.95,60.01,87,9,8.05
165,Senanga,ZM,2020-08-25 06:31:50,-16.12,23.27,72.16,24,0,6.33
166,Pacific Grove,US,2020-08-25 06:31:17,36.62,-121.92,60.01,98,0,1.9
167,Coalinga,US,2020-08-25 06:31:50,36.14,-120.36,84.0,42,0,6.78
168,Saldanha,ZA,2020-08-25 06:31:50,-33.01,17.94,51.8,93,0,5.82
169,Esperance,AU,2020-08-25 06:31:50,-33.87,121.9,66.2,59,57,3.36
170,San Carlos De Bariloche,AR,2020-08-25 06:31:50,-41.15,-71.31,35.6,93,90,8.05
171,Ginir,ET,2020-08-25 06:31:50,7.13,40.7,68.09,63,32,9.75
172,Yellowknife,CA,2020-08-25 06:31:51,62.46,-114.35,55.0,81,75,9.17
173,Palmas,BR,2020-08-25 06:31:51,-10.21,-48.36,78.8,78,96,2.24
174,Santa Lucia,ES,2020-08-25 06:31:51,27.91,-15.54,77.0,61,20,26.4
175,Torbay,CA,2020-08-25 06:31:51,47.67,-52.73,57.0,93,90,8.05
176,Karasjok,NO,2020-08-25 06:31:51,69.47,25.51,55.4,58,11,17.22
177,El Alto,PE,2020-08-25 06:31:51,-4.27,-81.21,58.87,83,0,15.46
178,Cabo San Lucas,MX,2020-08-25 06:31:19,22.89,-109.91,81.0,68,0,3.0
179,Bose,IT,2020-08-25 06:31:51,45.46,8.01,69.01,59,14,0.49
180,Seydi,TM,2020-08-25 06:31:52,39.48,62.91,74.89,38,100,5.14
181,Eureka,US,2020-08-25 06:31:52,40.8,-124.16,55.99,100,0,1.3
182,Coruripe,BR,2020-08-25 06:31:52,-10.13,-36.18,70.92,80,88,2.39
183,Flin Flon,CA,2020-08-25 06:31:52,54.77,-101.86,50.2,85,99,9.71
184,Ust-Maya,RU,2020-08-25 06:31:52,60.42,134.53,58.01,38,26,6.38
185,Port Lincoln,AU,2020-08-25 06:31:52,-34.73,135.87,54.68,64,58,10.11
186,Nanortalik,GL,2020-08-25 06:31:52,60.14,-45.24,42.85,86,84,7.23
187,Qaqortoq,GL,2020-08-25 06:31:52,60.72,-46.03,41.0,86,71,3.36
188,Puerto Del Rosario,ES,2020-08-25 06:31:52,28.5,-13.86,77.0,69,36,11.41
189,Amta,IN,2020-08-25 06:31:53,22.58,88.01,91.4,84,75,11.41
190,Vestmannaeyjar,IS,2020-08-25 06:31:53,63.44,-20.27,50.0,78,28,3.83
191,Leningradskiy,RU,2020-08-25 06:31:53,69.38,178.42,42.24,91,100,8.16
192,Charlestown,AU,2020-08-25 06:28:41,-32.95,151.67,59.0,59,14,7.65
193,Arraial Do Cabo,BR,2020-08-25 06:31:53,-22.97,-42.03,66.2,59,40,4.7
194,San Patricio,MX,2020-08-25 06:31:53,19.22,-104.7,79.07,86,52,2.46
195,Salinopolis,BR,2020-08-25 06:31:53,-0.61,-47.36,77.58,84,0,6.89
196,Kulhudhuffushi,MV,2020-08-25 06:31:53,6.62,73.07,82.9,74,100,14.23
197,Chengde,CN,2020-08-25 06:31:54,40.97,117.94,87.12,39,100,3.8
198,Angoche,MZ,2020-08-25 06:31:54,-16.23,39.91,78.93,64,10,5.91
199,Kedrovyy,RU,2020-08-25 06:31:54,56.17,91.82,69.8,52,37,8.95
200,Rodrigues Alves,BR,2020-08-25 06:31:54,-7.74,-72.65,67.19,84,80,1.74
201,Chapais,CA,2020-08-25 06:31:54,49.78,-74.85,60.8,100,90,8.05
202,Sept-Iles,CA,2020-08-25 06:31:54,50.2,-66.38,55.0,81,75,6.93
203,Tecoanapa,MX,2020-08-25 06:31:54,16.52,-98.75,76.05,90,100,11.9
204,Atuona,PF,2020-08-25 06:31:54,-9.8,-139.03,78.53,76,10,14.07
205,Sobolevo,RU,2020-08-25 06:31:55,54.43,31.9,66.34,77,15,4.88
206,Port Keats,AU,2020-08-25 06:31:55,-14.25,129.55,91.18,22,0,4.47
207,Srednekolymsk,RU,2020-08-25 06:31:55,67.45,153.68,42.57,73,98,8.28
208,Isabela,PH,2020-08-25 06:31:55,6.71,121.97,87.8,74,20,6.93
209,Goma,CD,2020-08-25 06:31:55,-1.68,29.22,64.4,68,75,9.17
210,Candolim,IN,2020-08-25 06:31:55,15.52,73.76,82.4,78,54,13.13
211,Caravelas,BR,2020-08-25 06:31:55,-17.71,-39.25,64.56,88,7,9.42
212,Sortland,NO,2020-08-25 06:31:56,68.69,15.42,51.8,87,20,2.24
213,Alghero,IT,2020-08-25 06:31:56,40.56,8.32,64.4,88,45,2.24
214,Numan,NG,2020-08-25 06:31:56,9.47,12.03,71.65,85,100,6.04
215,Mitsamiouli,KM,2020-08-25 06:31:56,-11.38,43.28,78.8,78,40,3.36
216,Yatsuo,JP,2020-08-25 06:31:56,36.57,137.13,95.0,49,40,8.05
217,Mareeba,AU,2020-08-25 06:31:56,-17.0,145.43,79.0,54,59,4.0
218,Necochea,AR,2020-08-25 06:31:56,-38.55,-58.74,55.0,90,100,4.0
219,Dixon,US,2020-08-25 06:31:57,38.45,-121.82,78.8,44,1,9.17
220,Monte Patria,CL,2020-08-25 06:31:57,-30.69,-70.95,49.62,69,73,1.12
221,Aquidauana,BR,2020-08-25 06:31:57,-20.47,-55.79,72.81,56,0,6.73
222,Moose Factory,CA,2020-08-25 06:31:57,51.26,-80.61,51.8,93,90,5.82
223,Port Hedland,AU,2020-08-25 06:31:57,-20.32,118.57,84.2,62,0,11.41
224,Zhigansk,RU,2020-08-25 06:31:57,66.77,123.37,55.83,40,0,6.78
225,Severo-Kurilsk,RU,2020-08-25 06:31:57,50.68,156.12,55.65,82,100,8.28
226,Zaysan,KZ,2020-08-25 06:31:57,47.47,84.87,78.13,39,100,29.86
227,Akyab,MM,2020-08-25 06:31:58,20.15,92.9,82.38,82,100,15.59
228,Gamba,GA,2020-08-25 06:31:58,-2.65,10.0,74.21,80,100,4.74
229,Prado,BR,2020-08-25 06:27:08,-17.34,-39.22,61.29,90,3,8.05
230,Christchurch,NZ,2020-08-25 06:27:14,-43.53,172.63,48.0,70,64,17.22
231,Provideniya,RU,2020-08-25 06:31:58,64.38,-173.3,53.6,76,90,4.47
232,Beira,MZ,2020-08-25 06:31:58,-19.84,34.84,69.8,88,75,13.87
233,Panaba,MX,2020-08-25 06:31:58,21.28,-88.27,75.72,93,100,4.94
234,Qaanaaq,GL,2020-08-25 06:31:59,77.48,-69.36,33.62,92,100,6.4
235,Xuddur,SO,2020-08-25 06:31:59,4.12,43.89,82.96,46,78,20.49
236,Blythe,US,2020-08-25 06:30:57,33.61,-114.6,102.2,21,1,10.29
237,Oskarshamn,SE,2020-08-25 06:31:59,57.26,16.45,52.0,94,1,1.01
238,Port Pirie,AU,2020-08-25 06:31:59,-33.18,138.02,60.8,51,84,10.29
239,Kalga,RU,2020-08-25 06:31:59,50.93,118.9,66.13,61,28,9.4
240,Auki,SB,2020-08-25 06:32:00,-8.77,160.7,81.55,77,10,1.28
241,Chuy,UY,2020-08-25 06:32:00,-33.7,-53.46,56.84,88,100,10.85
242,Papara,BR,2020-08-25 06:32:00,-3.98,-38.73,78.8,74,75,12.75
243,Soltsy,RU,2020-08-25 06:32:00,58.12,30.32,63.88,70,17,7.38
244,Manubul,PH,2020-08-25 06:32:00,5.47,120.8,85.05,70,82,8.39
245,Ushtobe,KZ,2020-08-25 06:32:00,45.25,77.98,87.24,26,29,26.49
246,Vaitape,PF,2020-08-25 06:32:00,-16.52,-151.75,77.79,81,81,21.21
247,Enshi,CN,2020-08-25 06:32:01,30.3,109.48,89.73,45,93,1.83
248,Buala,SB,2020-08-25 06:32:01,-8.14,159.59,83.05,72,69,4.05
249,Mandera,KE,2020-08-25 06:32:01,3.94,41.87,85.96,43,25,18.66
250,Morondava,MG,2020-08-25 06:32:01,-20.28,44.28,78.12,58,76,0.58
251,Greece,US,2020-08-25 06:32:01,43.21,-77.69,73.99,73,40,6.93
252,Faro,PT,2020-08-25 06:31:59,37.02,-7.93,71.01,93,0,2.24
253,Samarai,PG,2020-08-25 06:32:01,-10.62,150.67,78.62,86,100,16.08
254,Bilibino,RU,2020-08-25 06:32:02,68.05,166.44,40.66,89,100,3.94
255,Iqaluit,CA,2020-08-25 06:32:02,63.75,-68.51,44.6,81,90,11.41
256,Brae,GB,2020-08-25 06:32:02,60.4,-1.35,46.4,93,75,1.12
257,Severobaykalsk,RU,2020-08-25 06:32:02,55.65,109.32,58.6,72,9,6.87
258,Itarema,BR,2020-08-25 06:32:02,-2.92,-39.92,77.23,78,99,12.8
259,Mahenge,TZ,2020-08-25 06:32:02,-8.68,36.72,74.25,58,0,3.29
260,Diego De Almagro,CL,2020-08-25 06:32:02,-26.37,-70.05,40.37,86,4,3.02
261,Kudahuvadhoo,MV,2020-08-25 06:32:02,2.67,72.89,84.47,68,11,8.25
262,Saint-Georges,GD,2020-08-25 06:32:03,12.06,-61.75,82.4,83,20,13.87
263,Santa Maria,BR,2020-08-25 06:32:03,-29.68,-53.81,58.77,81,98,6.35
264,Cidreira,BR,2020-08-25 06:32:03,-30.18,-50.21,60.91,75,93,20.85
265,Biak,ID,2020-08-25 06:32:03,-0.91,122.88,81.34,69,23,9.95
266,Banda Aceh,ID,2020-08-25 06:32:03,5.56,95.32,86.56,70,100,11.77
267,Okato,NZ,2020-08-25 06:32:03,-39.2,173.88,48.99,81,26,5.01
268,Fairbanks,US,2020-08-25 06:32:01,64.84,-147.72,57.2,87,75,3.31
269,Kansk,RU,2020-08-25 06:28:00,56.2,95.72,68.14,54,0,4.12
270,Ahipara,NZ,2020-08-25 06:32:03,-35.17,173.17,56.07,76,0,13.76
271,Reutte,AT,2020-08-25 06:32:04,47.48,10.72,50.0,87,62,3.0
272,Tucuman,AR,2020-08-25 06:28:04,-26.82,-65.22,59.0,51,78,10.29
273,Estelle,US,2020-08-25 06:32:04,29.85,-90.11,80.01,100,90,8.05
274,Geraldton,AU,2020-08-25 06:32:04,-28.77,114.6,68.0,52,0,16.11
275,Marzuq,YE,2020-08-25 06:32:04,14.4,46.47,89.06,36,99,9.1
276,Letychiv,UA,2020-08-25 06:27:46,49.38,27.63,66.11,80,67,3.71
277,Mehamn,NO,2020-08-25 06:32:04,71.04,27.85,53.6,71,75,16.11
278,Ngunguru,NZ,2020-08-25 06:32:04,-35.62,174.5,55.99,3,33,7.0
279,Soure,BR,2020-08-25 06:32:04,-0.72,-48.52,78.31,83,0,5.91
280,Saint-Leu,RE,2020-08-25 06:32:05,-21.15,55.28,75.2,69,20,5.82
281,Farafangana,MG,2020-08-25 06:32:05,-22.82,47.83,74.62,72,5,9.57
282,Saquena,PE,2020-08-25 06:32:05,-4.67,-73.52,70.05,80,99,1.99
283,Svetlogorsk,BY,2020-08-25 06:32:05,52.63,29.73,69.53,67,100,1.77
284,East London,ZA,2020-08-25 06:32:05,-33.02,27.91,60.8,87,100,6.93
285,Fare,PF,2020-08-25 06:32:05,-16.7,-151.02,77.45,81,4,20.33
286,Kurgunta,IN,2020-08-25 06:32:05,17.2,77.35,85.78,64,56,10.94
287,Mocuba,MZ,2020-08-25 06:32:05,-16.84,36.99,79.32,57,60,5.7
288,Hammerfest,NO,2020-08-25 06:32:05,70.66,23.68,48.2,93,75,23.04
289,Huntsville,US,2020-08-25 06:31:01,34.73,-86.59,78.8,78,90,3.36
290,Maloy,NO,2020-08-25 06:28:29,61.94,5.11,51.8,71,75,10.29
291,Yarmouth,US,2020-08-25 06:32:06,41.71,-70.23,73.99,100,90,9.17
