City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Makakilo City,US,86.0,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
241,Ponta Do Sol,PT,75.0,clear sky,32.67,-17.1,Hotel do Campo
242,Banda Aceh,ID,79.95,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
243,Lazaro Cardenas,MX,83.84,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
244,Sabha,LY,86.61,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
245,Biltine,TD,82.06,light rain,14.53,20.92,Hôtel Trois Étoiles de Biltine
248,Ixtapa,MX,84.99,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
250,Port Blair,IN,81.55,overcast clouds,11.67,92.75,Fortune Resort Bay Island
254,Olivenza,ES,77.0,few clouds,38.68,-7.1,Hotel Heredero
257,Lorengau,PG,82.45,light rain,-2.02,147.27,Lorengau Harbourside Hotel
259,Eydhafushi,MV,82.94,scattered clouds,5.1,73.07,Soneva Fushi
261,Jiaonan,CN,75.0,mist,35.88,119.98,Vienna Hotel Qingdao Huangdao
266,Kamaishi,JP,79.92,scattered clouds,39.27,141.88,Hotel Route Inn Kamaishi
272,Manhattan Beach,US,78.01,few clouds,33.88,-118.41,Shade Hotel
276,Kavaratti,IN,81.54,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
278,Kudahuvadhoo,MV,81.45,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
284,Jalu,LY,82.72,clear sky,29.03,21.55,Jalu Hotel
285,Broome,US,78.01,overcast clouds,42.25,-75.83,Chenango Valley State Park
287,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
295,Beecher,US,81.0,broken clouds,43.09,-83.69,"Holt's Mobile Home Court, Sales and RV Park"
298,Mitsamiouli,KM,75.61,few clouds,-11.38,43.28,Foyer ADM
299,Salinopolis,BR,81.05,broken clouds,-0.61,-47.36,Hotel Salinópolis
301,Noboribetsu,JP,75.99,heavy intensity drizzle,42.45,141.17,Hotel Izumi
302,Pa Sang,TH,78.8,broken clouds,18.53,98.94,โรงแรม จามจุรี 99
305,Haifa,IL,75.99,clear sky,32.82,34.99,Dan Panorama Haifa Hotel
